employee_id,first_name,last_name,position,hire_date,fire_date,salary
1,Jessica,May,Navigator,2023-01-01,,6800.0
2,Mary,Lynch,Mission Specialist,2023-01-01,,9300.0
3,Adam,Wallace,Pilot,2023-01-01,,8200.0
4,Ricky,Allison,Navigator,2023-01-01,,6600.0
5,Aaron,Rogers,Pilot,2023-01-01,,9500.0
6,Cheyenne,Harris,Navigator,2023-01-01,,7300.0
7,Allison,Jones,Technician,2023-01-01,,5400.0
8,Dawn,Vargas,Pilot,2023-01-01,,7900.0
9,Sarah,Garrison,Pilot,2023-01-01,,7900.0
10,Kimberly,Hopkins,Navigator,2023-01-01,,7200.0
11,Theresa,Silva,Pilot,2023-01-01,2024-06-12,9300.0
12,Tina,Ball,Navigator,2023-01-01,2024-08-18,7800.0
13,Melissa,Burke,Navigator,2023-01-01,,7800.0
14,Katrina,Phillips,Navigator,2023-01-01,2024-07-14,6900.0
15,Matthew,Cole,Technician,2023-01-01,,6100.0
16,Jacob,Lynch,Pilot,2023-01-01,,8400.0
17,Richard,Proctor,Technician,2023-01-01,,5700.0
18,Amanda,Martinez,Navigator,2023-01-01,,6400.0
19,Jimmy,Thomas,Pilot,2023-01-01,2024-08-18,8100.0
20,David,Brooks,Navigator,2023-01-01,,8500.0
21,Maria,Rivera,Commander,2023-01-01,,11700.0
22,Eric,Wilson,Commander,2023-01-01,,10900.0
23,Wendy,Perez,Mission Specialist,2023-01-01,,12000.0
24,Tony,Rodriguez,Pilot,2023-01-01,,7800.0
25,Maureen,Rios,Navigator,2023-01-01,,7900.0
26,Jennifer,Stone,Navigator,2023-01-01,,7400.0
27,Duane,Bailey,Pilot,2023-01-01,,7300.0
28,Allen,Murphy,Mission Specialist,2023-01-01,,10100.0
29,Timothy,Howell,Navigator,2023-01-01,,6400.0
30,David,Howard,Navigator,2023-01-01,,7600.0
31,Jacqueline,Cruz,Navigator,2023-01-01,,7700.0
32,Gerald,Townsend,Mission Specialist,2023-01-01,,10100.0
33,Shannon,Yates,Pilot,2023-01-01,,7200.0
34,Natalie,Huffman,Technician,2023-01-01,,5600.0
35,Heather,Hunter,Pilot,2023-01-01,,7000.0
36,Traci,Martinez,Pilot,2023-01-01,,9500.0
37,Kimberly,Shaffer,Pilot,2023-01-01,,7100.0
38,Steven,Johnson,Mission Specialist,2023-01-01,,9500.0
39,Cassandra,Simpson,Pilot,2023-01-01,2024-07-21,8600.0
40,Roberto,Torres,Pilot,2023-01-01,,8500.0
41,Adam,Long,Technician,2023-01-01,,4900.0
42,Ashley,Thompson,Pilot,2023-01-01,,8400.0
43,Marcus,Gonzalez,Commander,2023-01-01,,12900.0
44,Henry,Hodges,Navigator,2023-01-01,,7800.0
45,Lisa,Rodriguez,Navigator,2023-01-01,,7400.0
46,Rachel,Alvarado,Pilot,2023-01-01,,8600.0
47,Christopher,Rhodes,Navigator,2023-01-01,,8100.0
48,Michael,Burton,Navigator,2023-01-01,,7100.0
49,Carol,Clark,Commander,2023-01-01,,11600.0
50,Julia,Lang,Navigator,2023-01-01,,7800.0
51,Deborah,Campbell,Navigator,2023-01-01,2024-05-30,8700.0
52,Joseph,Wood,Commander,2023-01-01,,10900.0
53,Deborah,Patel,Pilot,2023-01-01,,9500.0
54,David,Evans,Mission Specialist,2023-01-01,,9800.0
55,Aaron,Webster,Pilot,2023-01-01,2024-06-25,9700.0
56,Riley,Fletcher,Navigator,2023-01-01,2024-06-30,7400.0
57,Adam,Johnson,Pilot,2023-01-01,,7700.0
58,Sharon,Chavez,Navigator,2023-01-01,,9200.0
59,Lisa,Boyle,Technician,2023-01-01,,6000.0
60,Andrew,Rocha,Pilot,2023-01-01,,8000.0
61,Emily,Scott,Navigator,2023-01-01,2024-06-11,8200.0
62,Laura,Williams,Navigator,2023-01-01,,7200.0
63,Michael,Kirk,Navigator,2023-01-01,,6500.0
64,Patricia,King,Navigator,2023-01-01,,7100.0
65,Christine,Booth,Pilot,2023-01-01,,7700.0
66,Courtney,Johnson,Commander,2023-01-01,,12300.0
67,Jessica,Thomas,Navigator,2023-01-01,,6500.0
68,Russell,Smith,Navigator,2023-01-01,,8200.0
69,Michael,Chandler,Commander,2023-01-01,,12600.0
70,Jacob,Cummings,Pilot,2023-01-01,2024-05-30,8200.0
71,Henry,Wilcox,Navigator,2023-01-01,,8400.0
72,Holly,Chan,Pilot,2023-01-01,,7800.0
73,Eric,Roberts,Navigator,2023-01-01,2024-06-25,7100.0
74,William,Ortiz,Navigator,2023-01-01,,8100.0
75,Pamela,Price,Navigator,2023-01-01,,6400.0
76,Angela,Salinas,Navigator,2023-01-01,,9200.0
77,Michael,Hall,Navigator,2023-01-01,,6500.0
78,Deborah,Armstrong,Navigator,2023-01-01,,7700.0
79,Gregory,Chase,Technician,2023-01-01,,4900.0
80,Tamara,Martin,Technician,2023-01-01,,5600.0
81,John,Montoya,Pilot,2023-01-01,,8900.0
82,Jonathan,Allison,Navigator,2023-01-01,,6400.0
83,Kristi,Clayton,Technician,2023-01-01,,5200.0
84,Joe,Thompson,Navigator,2023-01-01,,6500.0
85,Brian,Goodman,Pilot,2023-01-01,,9000.0
86,Andrew,Williams,Navigator,2023-01-01,,8900.0
87,Brian,Brown,Mission Specialist,2023-01-01,,9600.0
88,Amy,Gutierrez,Commander,2023-01-01,,13200.0
89,James,Chen,Navigator,2023-01-01,2024-06-23,6300.0
90,Michael,Simpson,Pilot,2023-01-01,,8100.0
91,Lisa,Ali,Pilot,2023-01-01,2023-10-11,7100.0
92,Joseph,Orr,Pilot,2023-01-01,,7200.0
93,Catherine,Salas,Mission Specialist,2023-01-01,,10100.0
94,Angela,Wise,Pilot,2023-01-01,,7800.0
95,Kristin,Craig,Pilot,2023-01-01,,8400.0
96,Bethany,Jenkins,Technician,2023-01-01,,6200.0
97,Walter,Jones,Navigator,2023-01-01,,8800.0
98,Eric,Wade,Navigator,2023-01-01,,8000.0
99,Katrina,Perez,Navigator,2023-01-01,,8900.0
100,Charles,Mcguire,Mission Specialist,2023-01-01,,10600.0
101,Teresa,Garcia,Navigator,2023-04-27,2024-06-12,7800.0
102,Darius,Morton,Navigator,2023-06-19,,6700.0
103,Joseph,Church,Navigator,2024-01-17,,6000.0
104,Amber,Cole,Navigator,2023-01-29,,7000.0
105,Zachary,Smith,Navigator,2023-07-10,,8500.0
106,Timothy,Wells,Mission Specialist,2023-11-30,,10700.0
107,Amy,Williams,Pilot,2024-06-24,,8200.0
108,Christina,Mata,Navigator,2024-01-03,,7500.0
109,Stephanie,Valencia,Technician,2023-05-20,,4600.0
110,Daniel,Jones,Commander,2024-07-31,,9100.0
111,Gabrielle,Kramer,Navigator,2025-01-09,2024-04-27,7200.0
112,Krystal,Scott,Navigator,2024-02-27,,7200.0
113,Frances,Ryan,Navigator,2025-01-23,,6200.0
114,Amanda,Cowan,Navigator,2023-08-24,,7000.0
115,Brandon,Church,Navigator,2024-01-12,,7300.0
116,Dennis,Phelps,Navigator,2023-03-13,,8800.0
117,Robert,Schmidt,Navigator,2024-12-04,2024-08-18,7000.0
118,William,Flowers,Navigator,2024-04-25,,8500.0
119,Richard,Warner,Pilot,2023-02-18,,8500.0
120,Wayne,Smith,Pilot,2024-04-27,,9100.0
121,Patricia,Turner,Mission Specialist,2024-04-07,,10700.0
122,Kimberly,Nguyen,Navigator,2024-10-30,,6300.0
123,Christina,Lopez,Navigator,2024-05-12,,6000.0
124,Ann,Cummings,Pilot,2024-05-02,2024-08-22,7700.0
125,Danielle,Allen,Pilot,2023-06-11,2024-08-18,9700.0
126,Leah,Perez,Technician,2023-03-26,,4900.0
127,Sean,Atkins,Pilot,2024-01-18,,6600.0
128,Ellen,Wilson,Mission Specialist,2023-06-17,,10200.0
129,Michelle,Morgan,Mission Specialist,2024-02-16,,11800.0
130,Justin,Contreras,Navigator,2023-02-28,,8800.0
131,Evelyn,Cross,Technician,2023-08-21,,4600.0
132,Daniel,Washington,Technician,2023-03-13,,6300.0
133,Connie,Thompson,Navigator,2023-12-27,,6100.0
134,Kimberly,Smith,Commander,2025-05-17,,10400.0
135,Diane,Pittman,Pilot,2023-02-20,,9000.0
